id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_found
34062368,"2018 Townhouse close to UW,AMZON,SLU (ROOM2)",100563334,Cici & Jay,Bryant,47.6655,-122.2843,Private room,59,30,1,5/15/2019,0.31,2,148,2019
34063948,*NEW*5 BEDS IN CENTER OF DOWNTOWN SEATTLE W VIEW,23165254,Luxsle/Com,North Queen Anne,47.64819,-122.36221,Entire home/apt,249,1,5,5/18/2019,1.33,16,317,2019
34066096,Summer in Seattle 2 miles from the needle on QA!,173100599,Don,West Queen Anne,47.63944,-122.36089,Entire home/apt,399,5,11,8/5/2019,4.4,4,157,2019
34066101,Private King Suite in the Heart of Columbia City,58180973,Ryan And Rene,Columbia City,47.55514,-122.28155,Entire home/apt,81,2,29,8/17/2019,7.77,1,61,2019
34090614,Waterfront Ferry Condos 1BD/1BA 1 with Waterview,8534462,Corp Condos & Apts,Pioneer Square,47.59996,-122.3345,Entire home/apt,199,2,0,,,361,234,2019
34090631,Town Hall Convention Center Condos Studio 2,8534462,Corp Condos & Apts,First Hill,47.60935,-122.32883,Entire home/apt,169,2,1,7/21/2019,1,361,192,2019
34090646,Unbeatable 100 Walkscore Studio,8534462,Corp Condos & Apts,Broadway,47.61572,-122.32759,Entire home/apt,999,21,0,,,361,251,2019
34091676,Lower Suite blocks from Lake Union & Queen Anne!,229095817,Loftium,Westlake,47.63754,-122.34087,Entire home/apt,100,1,26,8/16/2019,7.43,76,84,2019
34091771,Upstairs Apartment just blocks from Lake Union!,229095817,Loftium,Westlake,47.63791,-122.34069,Entire home/apt,110,1,25,8/14/2019,7.01,76,82,2019
34092987,Urban Condo in Downtown - Steps to Convention Ctr,257442365,Wan,First Hill,47.61267,-122.32894,Entire home/apt,162,3,15,8/15/2019,5.92,1,168,2019
34095860,Roosevelt Townhouse w Private Rooftop and Fire Pit,193954244,Teddy,Wedgwood,47.69447,-122.30377,Private room,48,1,17,8/11/2019,4.81,1,162,2019
34097274,Luxury top-floor condo with stunning lake view!,9423452,Daniel,East Queen Anne,47.63777,-122.34344,Entire home/apt,149,31,1,8/10/2019,1,1,314,2019
34116759,Mid-Century Capitol Hill Charmer With Parking!,225845,Lisa,Broadway,47.6176,-122.31586,Entire home/apt,150,2,3,7/30/2019,2.43,3,167,2019
34119154,Pike Place 100 Walkscore Studio 4,8534462,Corp Condos & Apts,Pike-Market,47.60978,-122.34104,Entire home/apt,169,2,2,7/27/2019,1.67,361,337,2019
34119180,Pike Place 100 Walkscore Studio 1,8534462,Corp Condos & Apts,Pike-Market,47.60919,-122.34013,Entire home/apt,169,2,0,,,361,334,2019
34119202,Westlake Ave Downtown Condos 1BD 4 F,8534462,Corp Condos & Apts,South Lake Union,47.61973,-122.33868,Entire home/apt,225,2,3,7/12/2019,1.36,361,207,2019
34119233,Unbeatable 100 Walkscore 1BD w/ balcony F,8534462,Corp Condos & Apts,Broadway,47.61608,-122.32617,Entire home/apt,169,21,1,7/31/2019,1,361,250,2019
34119258,Downtown 99 Walkscore apartment 2BD2,8534462,Corp Condos & Apts,Central Business District,47.61197,-122.33682,Entire home/apt,299,2,4,7/15/2019,1.82,361,361,2019
34119279,Downtown 99 Walkscore apartment 2BD3,8534462,Corp Condos & Apts,Central Business District,47.61155,-122.33778,Entire home/apt,299,2,7,7/31/2019,2.47,361,326,2019
34121036,Modern and Clean Suite in West Seattle - 10 min DT,229095817,Loftium,North Delridge,47.56929,-122.35902,Entire home/apt,93,1,27,8/7/2019,7.43,76,79,2019
34121119,"""The Kinkade"" Mid-Century Capitol Hill Charmer!",257635811,Victor,Broadway,47.61916,-122.3161,Entire home/apt,150,1,10,7/28/2019,2.78,1,114,2019
34122419,Charming Historic Home in Desirable Queen Anne,13738007,Chris,North Queen Anne,47.64828,-122.35859,Entire home/apt,300,2,2,7/15/2019,1.36,1,0,2019
34122621,Charming Victorian - Centrally located,37224930,Ann,Mann,47.6077,-122.29684,Entire home/apt,250,6,0,,,2,124,2019
34123073,*Wallingford Fremont UW House with Garden Backyard,247445265,Jense,Wallingford,47.65469,-122.33201,Entire home/apt,251,4,6,8/5/2019,2.5,1,39,2019
34124211,"Vertigo Studio: Corner Downtown, 2nd floor studio",144476152,Jason & Krista,Belltown,47.61442,-122.33923,Entire home/apt,125,2,14,7/28/2019,4.24,7,130,2019
34127381,Charming West Seattle Home,49022431,John And Katie,Gatewood,47.5332,-122.3848,Entire home/apt,225,2,9,8/12/2019,6,1,138,2019
